name	created	released	status	source	title
09CARACAS1595	2009	2010	CONFIDENTIAL	Embassy Caracas	Venezuela: Banco Bicentenario Opens, But is the Banking 
08REYKJAVIK294	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: NEW FOREIGN EXCHANGE RULES EASE TRADE AND HELP 
10RIYADH61	2010	2010	SECRET//NOFORN	Embassy Riyadh	x
05MADRID703	2005	2010	CONFIDENTIAL	Embassy Madrid	SPANISH DEFENSE MINISTER TELEPHONES CHARGE ON
10LONDON450	2010	2010	CONFIDENTIAL	Embassy London	UK -LIBYA RELATIONS - IN LIMBO 
08BRASILIA1312	2008	2011	CONFIDENTIAL	Embassy Brasilia	WHA TARGETED REQUESTS FOR AFGHAN NATIONAL ARMY 
10CAIRO257	2010	2011	CONFIDENTIAL	Embassy Cairo	DASD Kahl Meeting with Egyptian Military Officials 
07PARIS1791	2007	2010	UNCLASSIFIED	Embassy Paris	IT'S PRESIDENT SARKOZY -- IN A CLEAR-CUT VICTORY 
10RIYADH159	2010	2010	SECRET//NOFORN	Embassy Riyadh	(S) SAUDI ARABIA: RENEWED ASSURANCES ON SATELLITE 
09REYKJAVIK198	2009	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC GOVERNMENT OPTIMISTIC PARLIAMENT WILL 
09BRASILIA390	2009	2010	SECRET//NOFORN	Embassy Brasilia	THEFT OF SMALL PLANE ACTIVATES SHOOTDOWN PROCEDURES 
08TRIPOLI994	2008	2011	CONFIDENTIAL	Embassy Tripoli	THINGS FALL APART: LIBYA TELLS SWISS COMPANIES TO CEASE 
09BRASILIA599	2009	2011	CONFIDENTIAL	Embassy Brasilia	NUCLEAR NON-PROLIFERATION: BRAZIL MAY SOFTEN ON IAEA INTERVIEW REQUEST, BUT ADDITIONAL PROTOCOL NOT LIKELY
09LONDON1750	2009	2011	SECRET//NOFORN	Embassy London	(S) TREASURY A/S COHEN URGES UK TO TAKE IRAN SANCTIONS; PRESS INTERPAL 
10CAIRO358	2010	2011	UNCLASSIFIED	Embassy Cairo	CAIRO REQUEST FOR LEAHY HUMAN RIGHTS VETTING - 99561 THRU 
06CARACAS1276	2006	2010	CONFIDENTIAL	Embassy Caracas	BRAZIL STILL INTERESTED IN TUCANO SALES, PROPOSES 
09LONDON1888	2009	2011	CONFIDENTIAL	Embassy London	SOMALILAND: UK "VERY CONCERNED," BUT REFRAINING FROM CONDEMNING RIYALE PUBLICLY  
05LIMA3571	2005	2011	CONFIDENTIAL	Embassy Lima	x
09BAGHDAD2586	2009	2011	SECRET	Embassy Baghdad	PM MALIKI CHARGES IRAN, SYRIA WITH SHIPPING WEAPONS
09LONDON1999	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	SCENESETTER FOR SEPTEMBER 3-7 VISIT OF CODEL KANJORSKI TO 
09TRIPOLI1024	2009	2011	SECRET//NOFORN	Embassy Tripoli	HINTS OF MINOR PROGRESS IN THE SWISS-LIBYA STANDOFF REF: TRIPOLI 942 TRIPOLI 00001024 001.2 OF 002 
08TEGUCIGALPA86	2008	2011	CONFIDENTIAL	Embassy Tegucigalpa	PETROCARIBE AS HONDURAN POLITICAL THEATER
03BRASILIA698	2003	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	x
08BUENOSAIRES235	2008	2010	SECRET	Embassy Buenos Aires	ARGENTINA: GETTING PAST SQUARE ONE WITH THE
09TRIPOLI1025	2009	2011	SECRET//NOFORN	Embassy Tripoli	FINAL HEU SHIPMENT DEPARTS LIBYA REF: A) TRIPOLI 938 B) TRIPOLI 966; C) TRIPOLI 941 
08REYKJAVIK102	2008	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND: GOVERNMENT GETS FLYING COLORS FOR 6.3 EARTHQUAKE 
08STATE65820	2008	2010	SECRET	Secretary of State	A/S FRAZER?S JUNE 13 MEETING WITH UGANDAN 
09TRIPOLI415	2009	2011	SECRET	Embassy Tripoli	FM KUSA SUPPORTIVE OF ENGAGEMENT WITH U.S. AFRICA COMMAND -- 
08REYKJAVIK228	2008	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC ECONOMIC CRISIS: BANKERS ARGUE GOI NEEDS TO 
09STOCKHOLM425	2009	2010	CONFIDENTIAL	Embassy Stockholm	DEMARCHE DELIVERED: IMPLEMENTING UN SECURITY COUNCIL RESOLUTION 1874 
09LONDON2005	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	UK?S ASSISTANCE STRATEGY - CUT POVERTY, ADDRESS 
08REYKJAVIK138	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND TO SUPPORT U.S. UNIVERSAL POSTAL UNION CONGRESS 
07STATE156011	2007	2010	CONFIDENTIAL	Secretary of State	PDAS KELLY CALLS IN BOLIVIAN AMBASSADOR GUZMAN 
07REYKJAVIK139	2007	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: GOVERNING COALITION NEEDS AN ELECTION-EVE MIRACLE 
09ALGIERS948	2009	2010	SECRET//NOFORN	Embassy Algiers	ALGERIA SAYS BAMAKO SUMMIT KEY TO REGIONAL 
05LIMA3609	2005	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Lima	x
06PARIS741	2006	2010	CONFIDENTIAL	Embassy Paris	TOGO: EX-MINISTER BOKO DISCUSSES RECENT EVENTS 
09USUNNEWYORK1141	2009	2010	CONFIDENTIAL	USUN New York	UNGA64:  EU AND EFTA MEMBER STATES WELCOME AND 
05BRASILIA1230	2005	2011	CONFIDENTIAL	Embassy Brasilia	ARAB-SOUTH AMERICA SUMMIT: THE SUMMIT DECLARATION 
06PARAMARIBO343	2006	2011	CONFIDENTIAL//NOFORN	Embassy Paramaribo	INCREASED VENEZUELAN ACTIVISM IN SURINAME HAS 
09MEXICO3573	2009	2010	SECRET	Embassy Mexico	MEXICAN NAVY OPERATION NETS DRUG KINGPIN ARTURO
08CAIRO2371	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Cairo	REQUESTING DEPARTMENT ASSISTANCE TO RESTORE 
08BOGOTA2568	2008	2010	CONFIDENTIAL	Embassy Bogota	ASSISTANT SECRETARY SHANNON'S JULY 7 MEETING WITH
10TRIPOLI77	2010	2011	CONFIDENTIAL	Embassy Tripoli	EXPLORING ENGAGEMENT WITH THE HEAD OF LIBYA'S PREMIER THINK TANK
08TBILISI1336	2008	2011	CONFIDENTIAL	Embassy Tbilisi	SITREP 1: FIGHTING IN SOUTH OSSETIA ESCALATES 
06CAIRO2010	2006	2010	CONFIDENTIAL	Embassy Cairo	EGYPT: ACTIONS LOUDER THAN WORDS - GAMAL MUBARAK 
10TRIPOLI166	2010	2011	CONFIDENTIAL	Embassy Tripoli	HALF OF LIBYA'S HOUSING AND INFRASTRUCTURE BUDGET STILL UP FOR GRABS TRIPOLI 00000166 001.2 OF 002 
09ASHGABAT757	2009	2010	CONFIDENTIAL	Embassy Ashgabat	IRAN POST-ELECTION:  [Source removed] CALLS 
09TRIPOLI648	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	SCENESETTER FOR CODEL MCCAIN'S TRIP TO LIBYA 
06BRASILIA2475	2006	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL: RESPONSE TO DEMARCHE ON LEGACY PILOTS 
08MADRID186	2008	2010	CONFIDENTIAL	Embassy Madrid	SPANISH REACTION TO KOSOVO'S INDEPENDENCE
10LONDON159	2010	2011	CONFIDENTIAL//NOFORN	Embassy London	SCENESETTER:  YOUR VISIT TO LONDON JANUARY 27-29 
09TRIPOLI371	2009	2011	CONFIDENTIAL	Embassy Tripoli	ENCOURAGING  CEN-SAD TO COOPERATE WITH TSCTP AND AFRICOM 
09TRIPOLI689	2009	2011	CONFIDENTIAL	Embassy Tripoli	LIBYAN OFFICIALS "DISAPPOINTED" WITH MEGRAHI RECEPTION, 
09SAOPAULO104	2009	2010	CONFIDENTIAL	Consulate Sao Paulo	EMBRAER'S CURADO -- ADVICE ON FX2 AND VIEWS ON THE 
08TRIPOLI540	2008	2011	CONFIDENTIAL	Embassy Tripoli	CHEVRON MAY QUIT LIBYA 
08REYKJAVIK286	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	Iceland: Political parties considering EU membership as 
06LAPAZ886	2006	2010	SECRET	Embassy La Paz	EVO AND HIS ADVISORY CIRCLE (PART 1 OF 3) 
04RANGOON88	2004	2010	SECRET//NOFORN	Embassy Rangoon	BURMA: RUMORS OF CONSTRUCTION OF A NUCLEAR REACTOR 
08MOSCOW818	2008	2010	CONFIDENTIAL	Embassy Moscow	CONSTITUENCY FOR CHANGE? OBSERVERS HOPEFUL AS
10BRASILIA19	2010	2010	CONFIDENTIAL	Embassy Brasilia	SENIOR BRAZIL OFFICIALS PRAISE COOPERATION, SEEK CLOSER
09SAOPAULO92	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Sao Paulo	BRAZILIAN ETHANOL SECTOR AND THE FINANCIAL CRISIS 
10LONDON77	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	AFRICAN UNION SUMMIT - UK DELEGATION REF: STATE 3353
09DAMASCUS880	2009	2010	SECRET//NOFORN	Embassy Damascus	SYRIAN-IRANIAN SHOW OF SOLIDARITY MASKS TENSIONS 
09RPODUBAI247	2009	2010	SECRET//NOFORN	Iran RPO Dubai	IRAN'S REFORMISTS BRAND ALLEGED ELECTION FRAUD AS TREASON,
09BEIJING2063	2009	2010	CONFIDENTIAL	Embassy Beijing	PRC LEADERSHIP STABLE DESPITE TENSIONS; XI STILL 
05CAIRO8938	2005	2011	CONFIDENTIAL	Embassy Cairo	x
06REYKJAVIK359	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	Iceland: Press and Politicos Respond to Defense 
09LONDON956	2009	2010	CONFIDENTIAL//NOFORN	Embassy London	UK POLITICAL SNAPSHOT:  GLOOMY BUDGET AND A NEW 
07SAOPAULO1007	2007	2010	UNCLASSIFIED	Consulate Sao Paulo	x
04BRASILIA2067	2004	2011	UNCLASSIFIED	Embassy Brasilia	BRAZIL CONSIDERING CAPETOWN CONVENTION ON AIRCRAFT FINANCING REF: BRASILIA 1917 
09OTTAWA639	2009	2011	CONFIDENTIAL	Embassy Ottawa	x
10THEHAGUE7	2010	2011	SECRET	Embassy The Hague	NETHERLANDS REQUEST FOR LETTER CONFIRMING
09MEXICO3077	2009	2010	SECRET	Embassy Mexico	DIRECTOR OF NATIONAL INTELLIGENCE DENNIS BLAIR'S
09LONDON2117	2009	2011	SECRET	Embassy London	GREAT LAKES: UK WELCOMES SE WOLPE'S APPOINTMENT 
09REYKJAVIK122	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELANDIC WHALING IN FULL SWING WITH 24 FIN WHALES HUNTED 
06REYKJAVIK88	2006	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND WILL NOT HOST HAMAS 
09TRIPOLI310	2009	2011	SECRET//NOFORN	Embassy Tripoli	MUATASSIM'S WASHINGTON DEBUT: BURNISHING HIS IMAGE AND TESTING U.S. WATERS TRIPOLI 00000310 001.2 OF 004 CLASSIFIED BY: Gene A. Cretz, Ambassador. REASON: 1.4 (b), (d)
09TRIPOLI660	2009	2011	CONFIDENTIAL	Embassy Tripoli	LIBYAN MEDIA SUBDUED ON MEGRAHI MEDIA BUZZ 
08BERLIN531	2008	2010	CONFIDENTIAL	Embassy Berlin	GERMAN GRAND COALITION FACES STRAIN OF UPCOMING 
09TRIPOLI600	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYAN OFFICIALS CONFIRM AUGUST 31 AU MEETING IN TRIPOLI 
05BRASILIA2219	2005	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL CORRUPTION SCANDAL UPDATE: JOSE DIRCEU REFLECTS 
05BRASILIA564	2005	2011	CONFIDENTIAL	Embassy Brasilia	ISRAELI EMBASSY FOCUSED ON ARAB-SOUTH AMERICAN 
08REYKJAVIK179	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELANDIC MFA REQUESTS ALL U.S. RECORDS ON HALLDOR 
09TRIPOLI156	2009	2011	SECRET	Embassy Tripoli	LIBYA'S NATIONAL SECURITY ADVISER:  LOOKING FOR SIGNALS OF 
08JERUSALEM1498	2008	2011	SECRET	Consulate Jerusalem	"POSITIVE BUT INCOMPLETE" ISRAELI-PALESTINIAN SECURITY COORDINATION MEETING IN JENIN 
09NAIROBI1938	2009	2010	SECRET	Embassy Nairobi	VISAS DONKEY: CORRUPTION 212(F) VISA DENIAL 
03BRASILIA1321	2003	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	ADVISOR DENIES AMORIM PROPOSING FTAA DELAY 
06REYKJAVIK421	2006	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND WILL SUPPORT MATHESON FOR INTERNATIONAL LAW 
06REYKJAVIK22	2006	2011	UNCLASSIFIED	Embassy Reykjavik	FRAUD SUMMARY - ICELAND 
08KYIV2127	2008	2011	CONFIDENTIAL	Embassy Kyiv	MV FAINA: UKRAINIAN REQUESTS FOR ASSISTANCE AND 
08REYKJAVIK270	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND REACHES AGREEMENT ON ICESAVE, OPENING DOOR FOR IMF 
08REYKJAVIK20	2008	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC MFA PERMANENT SECRETARY ON KOSOVO 
09BARCELONA15	2009	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Barcelona	FOLLOW-UP JUDICIAL CASE: GEORGE THOMAS KEE, JR.
04MADRID2492	2004	2010	CONFIDENTIAL	Embassy Madrid	SPAIN: LIBERTAD ACT TITLE III WAIVER REVIEW
09STOCKHOLM194	2009	2010	SECRET	Embassy Stockholm	SWEDEN: CI/KR RESPONSE FOR S/CT  
09REYKJAVIK140	2009	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND TO SEEK HIGH LEVEL MEETING AT UNGA 
09LISBON514	2009	2010	CONFIDENTIAL//NOFORN	Embassy Lisbon	SCENESETTER FOR YOUR OCTOBER 6-7 VISIT TO PORTUGAL
09STOCKHOLM677	2009	2010	SECRET	Embassy Stockholm	SCENESETTER FOR SWEDISH PRIME MINISTER REINFELDT VISIT TO WASHINGTON 
08STATE78865	2008	2011	UNCLASSIFIED	Secretary of State	COTE D'IVOIRE: JULY 24, 2008 UN SECURITY COUNCIL 
09REYKJAVIK41	2009	2011	SECRET//NOFORN	Embassy Reykjavik	REYKJAVIK SEPQ RESPONSE - SPRING 2009 
06PARIS1031	2006	2010	CONFIDENTIAL	Embassy Paris	SEGOLENE ROYAL DISCUSSES STRATEGY FOR 2007, TRIP 
09TRIPOLI197	2009	2011	UNCLASSIFIED	Embassy Tripoli	LIBYA: UN APPEALS TRIBUNAL DEMARCHE DELIVERED 
09BOGOTA3421	2009	2010	SECRET//NOFORN	Embassy Bogota	COLOMBIANS SEE UBIQUITOUS VENEZUELAN THREAT
08MADRID996	2008	2010	CONFIDENTIAL	Embassy Madrid	DEMARCHE RESPONSE: SPAIN UNLIKELY TO GO AFTER
05MADRID4054	2005	2010	CONFIDENTIAL	Embassy Madrid	SPAIN/CUBA: TITLE III OF LIBERTAD ACT
07HAVANA317	2007	2011	CONFIDENTIAL	US Interests Section Havana	CUBAN REGIME REMOVES JUSTICE MINISTER 
09SEOUL672	2009	2010	CONFIDENTIAL	Embassy Seoul	MND: DPRK MILITARY RHETORIC AND NATIONAL DEFENSE 
10CAIRO304	2010	2011	UNCLASSIFIED	Embassy Cairo	CAIRO REQUEST FOR LEAHY HUMAN RIGHTS VETTING - 99546 THRU 
10CAIRO213	2010	2011	CONFIDENTIAL	Embassy Cairo	ACTIVIST URGES U.S DIPLOMATIC APPROACH TO THE GOE ON TORTURE 
08TEGUCIGALPA765	2008	2011	CONFIDENTIAL	Embassy Tegucigalpa	ALBA EXPECTED TO BE SIGNED ON AUGUST 25 AT A HUGE 
09KAMPALA1197	2009	2010	CONFIDENTIAL	Embassy Kampala	UGANDA: SCENESETTER FOR VISIT OF ASSISTANT 
09REYKJAVIK123	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: PARLIAMENT PASSES RESOLUTION TO APPLY FOR 
09TRIPOLI71	2009	2011	CONFIDENTIAL	Embassy Tripoli	AL-QADHAFI'S FEINT: LIBYAN OIL NATIONALIZATION UNLIKELY  REF: A) 08 TRIPOLI 474, B) 08 TRIPOLI 498, C) 08 TRIPOLI 563, D) 08 TRIPOLI 597, E) TRIPOLI 40  TRIPOLI 00000071  001.2 OF 003   
07MOSCOW2429	2007	2010	CONFIDENTIAL	Embassy Moscow	RUSSIAN REACTION TO LITVINENKO MURDER CHARGES 
07SINGAPORE1932	2007	2010	CONFIDENTIAL	Embassy Singapore	LEE KUAN YEW ON BURMA'S "STUPID" GENERALS AND THE 
09ABUDHABI1151	2009	2010	SECRET//NOFORN	Embassy Abu Dhabi	ABU DHABI CROWN PRINCE WARNS DOE DEPSEC PONEMAN ABOUT IRAN 
10TRIPOLI78	2010	2011	CONFIDENTIAL	Embassy Tripoli	SENIOR LIBYAN JUSTICE OFFICIAL: LESS TALK, MORE ACTION IS BEST TRIPOLI 00000078 001.2 OF 002
08ISLAMABAD2524	2008	2010	SECRET//NOFORN	Embassy Islamabad	SCENESETTER FOR PM GILANI'S VISIT TO WASHINGTON 
09STATE99783	2009	2011	CONFIDENTIAL	Secretary of State	US PARTICIPATION IN JOINT DEMARCHE TO ICELAND ON 
08LAPAZ2458	2008	2010	CONFIDENTIAL	Embassy La Paz	BOLIVIA: BEFORE U.S. VISIT, EVO LASHES OUT 
10AMMAN329	2010	2011	SECRET//NOFORN	Embassy Amman	JORDAN SCENESETTER FOR JOINT CHIEFS CHAIRMAN ADM 
08BEIJING3385	2008	2010	CONFIDENTIAL	Embassy Beijing	PARTY ENJOYS BOOST THANKS TO OLYMPICS, BUT SOME
10BELGRADE3	2010	2010	CONFIDENTIAL//NOFORN	Embassy Belgrade	Post ICJ Opinion: Serbia to Continue Obstructing Kosovo 
